Fecha;User;Pronombre;Verbo;Tiempo Verbal;Conjugación Usuario;Conjugación Correcta;Resultado
2023-11-03 22:02:03;jose;il;vouloir;present;veux;veut;Incorrecto
2023-11-03 22:02:23;jose;tu;suivre;present;sais;suis;Incorrecto
2023-11-03 22:10:41;jose;je;courir;present;courte;cours;Incorrecto
2023-11-03 22:42:18;jose;tu;recevoir;present;recoit;reçois;Incorrecto
2023-11-03 23:42:49;jose;vous;croire;present;croison;croyez;Incorrecto
2023-11-03 23:43:12;jose;tu;lire;present;lit;lis;Incorrecto
2023-11-04 0:39:40;jose;tu;offrir;present;offre;offres;Incorrecto
2023-11-04 0:39:55;jose;il;connaitre;present;connaitre;connait;Incorrecto
2023-11-04 0:40:04;jose;nous;etre;present;avon;sommes;Incorrecto
2023-11-04 0:40:15;jose;je;croire;present;croir;crois;Incorrecto
2023-11-04 0:41:12;jose;je;decouvrir;present;decouvre;découvre;Incorrecto
2023-11-04 11:07:38;jose;il;attendre;present;attende;attend;Incorrecto
2023-11-04 11:07:57;jose;vous;decouvrir;present;decouvez;découvrez;Incorrecto
2023-11-04 11:08:07;jose;il;avoir;present;a;a;Correcto
2023-11-04 12:48:56;jose;vous;mettre;present;mettons;mettez;Incorrecto
2023-11-04 12:49:04;jose;il;lire;present;lit;lit;Correcto
2023-11-04 12:49:14;jose;vous;dormir;present;dormez;dormez;Correcto
2023-11-04 12:49:24;jose;nous;pouvoir;present;pouvons;pouvons;Correcto
2023-11-04 12:49:31;jose;tu;pouvoir;present;peux;peux;Correcto
2023-11-04 12:51:38;jose;je;vouloir;present;veuxç;veux;Incorrecto
2023-11-04 12:51:49;jose;je;boire;present;bois;bois;Correcto
2023-11-04 12:52:25;jose;vous;connaitre;present;connassez;connaissez;Incorrecto
2023-11-04 12:52:41;jose;vous;ecrire;present;escritez;écrivez;Incorrecto
2023-11-04 13:55:27;jose;tu;voir;present;veux;vois;Incorrecto
2023-11-04 13:55:49;jose;vous;pouvoir;present;pouvez;pouvez;Correcto
2023-11-04 13:57:00;jose;il;pouvoir;present;peut;peut;Correcto
2023-11-04 13:58:47;jose;je;venir;present;vien;viens;Incorrecto
2023-11-04 14:00:43;jose;tu;dormir;present;dors;dors;Correcto
2023-11-04 14:01:17;jose;tu;dormir;present;dors;dors;Correcto
2023-11-04 14:11:34;jose;je;boire;present;bois;bois;Correcto
2023-11-04 14:13:34;jose;il;attendre;present;attend;attend;Correcto
2023-11-04 14:22:55;jose;vous;produire;present;produisez;produisez;Correcto
2023-11-04 14:23:24;jose;nous;faire;present;faisons;faisons;Correcto
2023-11-04 14:23:33;jose;vous;pouvoir;present;pouvez;pouvez;Correcto
